trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
521,0,SAC,4:10:00,4:10:00,Sacramento,0,0,,1
521,1,DAV,4:25:00,4:25:00,Davis,0,0,,1
521,2,FFV,4:45:00,4:45:00,Fairfied/Vacavie,0,0,,1
521,3,SUI,4:51:00,4:51:00,Suisun/Fairfied,0,0,,1
521,4,MTZ,5:10:00,5:10:00,Martinez,0,0,,1
521,5,RIC,5:36:00,5:36:00,Richmond-BART,0,0,,1
521,6,BKY,5:44:00,5:44:00,Berkeey,0,0,,1
521,7,EMY,5:49:00,5:49:00,Emeryvie,0,0,,1
521,8,OKJ,6:01:00,6:01:00,Oakand Jack ondon,0,0,,1
521,9,OAC,6:11:00,6:11:00,Oakand Coiseum-BART,0,0,,1
521,10,HAY,6:21:00,6:21:00,Hayward,0,0,,1
521,11,FMT,6:37:00,6:37:00,Fremont/Centervie,0,0,,1
521,12,GAC,6:54:00,6:54:00,Santa Cara/Great America,0,0,,1
521,13,SCC,7:03:00,7:03:00,Santa Cara/University,0,0,,1
521,14,SJC,7:15:00,7:15:00,San Jose,0,0,,1
521W,0,EMY,5:50:00,5:50:00,Emeryvie- Amtrak,0,0,0,1
521W,1,SFC,6:20:00,6:20:00,SF Saesforce Paza,0,0,14270.63,1
522,0,OKJ,6:12:00,6:12:00,Oakland Jack London,0,0,,1
522,1,EMY,6:21:00,6:21:00,Emeryville,0,0,,1
522,2,BKY,6:25:00,6:25:00,Berkeley,0,0,,1
522,3,RIC,6:32:00,6:32:00,Richmond-BART,0,0,,1
522,4,MTZ,6:58:00,6:58:00,Martinez,0,0,,1
522,5,SUI,7:17:00,7:17:00,Suisun/Fairfield,0,0,,1
522,6,FFV,7:23:00,7:23:00,Fairfield/Vacaville,0,0,,1
522,7,DAV,7:47:00,7:47:00,Davis,0,0,,1
522,8,SAC,8:10:00,8:10:00,Sacramento,0,0,,1
522E,0,SFC,5:40:00,5:40:00,SF Salesforce Plaza,0,0,0,1
522E,1,EMY,6:10:00,6:10:00,Emeryville- Amtrak,0,0,13173.33,1
523,0,SAC,5:10:00,5:10:00,Sacramento,0,0,,1
523,1,DAV,5:25:00,5:25:00,Davis,0,0,,1
523,2,FFV,5:45:00,5:45:00,Fairfied/Vacavie,0,0,,1
523,3,SUI,5:51:00,5:51:00,Suisun/Fairfied,0,0,,1
523,4,MTZ,6:10:00,6:10:00,Martinez,0,0,,1
523,5,RIC,6:36:00,6:36:00,Richmond-BART,0,0,,1
523,6,BKY,6:44:00,6:44:00,Berkeey,0,0,,1
523,7,EMY,6:49:00,6:49:00,Emeryvie,0,0,,1
523,8,OKJ,7:00:00,7:00:00,Oakand Jack ondon,0,0,,1
523,9,OAC,7:09:00,7:09:00,Oakand Coiseum-BART,0,0,,1
523,10,HAY,7:22:00,7:22:00,Hayward,0,0,,1
523,11,FMT,7:37:00,7:37:00,Fremont/Centervie,0,0,,1
523,12,GAC,7:54:00,7:54:00,Santa Cara/Great America,0,0,,1
523,13,SCC,8:02:00,8:02:00,Santa Cara/University,0,0,,1
523,14,SJC,8:14:00,8:14:00,San Jose,0,0,,1
523S,0,RSV,4:15:00,4:15:00,Rosevile,0,0,,1
523S,1,SAC,4:55:00,4:55:00,Sacramento,0,0,,1
523W,0,EMY,6:50:00,6:50:00,Emeryvie- Amtrak,0,0,0,1
523W,1,SFC,7:30:00,7:30:00,SF Saesforce Paza,0,0,14270.63,1
524,0,SJC,6:18:00,6:18:00,San Jose,0,0,,1
524,1,SCC,6:24:00,6:24:00,Santa Clara/University,0,0,,1
524,2,GAC,6:31:00,6:31:00,Santa Clara/Great America,0,0,,1
524,3,FMT,6:47:00,6:47:00,Fremont/Centerville,0,0,,1
524,4,HAY,7:02:00,7:02:00,Hayward,0,0,,1
524,5,OAC,7:13:00,7:13:00,Oakland Coliseum-BART,0,0,,1
524,6,OKJ,7:24:00,7:24:00,Oakland Jack London,0,0,,1
524,7,EMY,7:35:00,7:35:00,Emeryville,0,0,,1
524,8,BKY,7:39:00,7:39:00,Berkeley,0,0,,1
